V1,num_bikes_available,num_bikes_available_types.mechanical,num_bikes_available_types.ebike,num_docks_available,last_reported
,20.0,4.0,16.0,7.0,1693997510.0
,19.0,4.0,15.0,8.0,1693997771.0
,18.0,3.0,15.0,9.0,1693998030.0
,18.0,3.0,15.0,9.0,1693998289.0
,19.0,3.0,16.0,8.0,1693998552.0
,19.0,3.0,16.0,8.0,1693998815.0
,19.0,3.0,16.0,8.0,1693999345.0
,17.0,1.0,16.0,10.0,1693999610.0
,16.0,1.0,15.0,11.0,1693999874.0
,14.0,1.0,13.0,13.0,1694000136.0
,13.0,1.0,12.0,14.0,1694000398.0
,12.0,1.0,11.0,15.0,1694000664.0
,11.0,1.0,10.0,16.0,1694001189.0
,9.0,0.0,9.0,18.0,1694001454.0
,9.0,0.0,9.0,18.0,1694001720.0
,8.0,0.0,8.0,19.0,1694001981.0
,6.0,0.0,6.0,21.0,1694002240.0
,6.0,0.0,6.0,21.0,1694002766.0
,4.0,0.0,4.0,23.0,1694002766.0
,4.0,0.0,4.0,23.0,1694003031.0
,4.0,0.0,4.0,23.0,1694003548.0
,4.0,0.0,4.0,23.0,1694003805.0
,3.0,0.0,3.0,24.0,1694004068.0
,3.0,0.0,3.0,24.0,1694004330.0
,3.0,0.0,3.0,24.0,1694004592.0
,4.0,0.0,4.0,23.0,1694004851.0
,3.0,0.0,3.0,24.0,1694005366.0
,6.0,0.0,6.0,21.0,1694005627.0
,6.0,0.0,6.0,21.0,1694005889.0
,6.0,0.0,6.0,21.0,1694006151.0
,6.0,0.0,6.0,21.0,1694006410.0
,5.0,0.0,5.0,22.0,1694006670.0
,7.0,0.0,7.0,20.0,1694007199.0
,6.0,0.0,6.0,21.0,1694007199.0
,6.0,0.0,6.0,21.0,1694007727.0
,5.0,0.0,5.0,22.0,1694007991.0
,3.0,0.0,3.0,24.0,1694008253.0
,2.0,0.0,2.0,25.0,1694008516.0
,2.0,0.0,2.0,25.0,1694008777.0
,1.0,0.0,1.0,26.0,1694009036.0
,1.0,0.0,1.0,26.0,1694009560.0
,1.0,0.0,1.0,26.0,1694009823.0
,0.0,0.0,0.0,27.0,1694010086.0
,0.0,0.0,0.0,27.0,1694010350.0
,0.0,0.0,0.0,27.0,1694010613.0
,1.0,0.0,1.0,26.0,1694010878.0
,1.0,0.0,1.0,26.0,1694011406.0
,1.0,0.0,1.0,26.0,1694011406.0
,0.0,0.0,0.0,27.0,1694011932.0
,0.0,0.0,0.0,27.0,1694012197.0
,1.0,0.0,1.0,26.0,1694012457.0
,1.0,0.0,1.0,26.0,1694012721.0
,0.0,0.0,0.0,27.0,1694012985.0
,0.0,0.0,0.0,27.0,1694013511.0
,0.0,0.0,0.0,27.0,1694013776.0
,0.0,0.0,0.0,27.0,1694014038.0
,0.0,0.0,0.0,27.0,1694014303.0
,0.0,0.0,0.0,27.0,1694014568.0
,0.0,0.0,0.0,27.0,1694014832.0
,0.0,0.0,0.0,27.0,1694015356.0
,1.0,0.0,1.0,26.0,1694015356.0
,2.0,0.0,2.0,25.0,1694015888.0
,0.0,0.0,0.0,27.0,1694016151.0
,0.0,0.0,0.0,27.0,1694016414.0
,0.0,0.0,0.0,27.0,1694016677.0
,2.0,0.0,2.0,25.0,1694016941.0
,2.0,0.0,2.0,25.0,1694017203.0
,3.0,0.0,3.0,24.0,1694017467.0
,0.0,0.0,0.0,27.0,1694017988.0
,0.0,0.0,0.0,27.0,1694018252.0
,0.0,0.0,0.0,27.0,1694018518.0
,0.0,0.0,0.0,27.0,1694018782.0
,0.0,0.0,0.0,27.0,1694019044.0
,0.0,0.0,0.0,27.0,1694019306.0
,0.0,0.0,0.0,27.0,1694019571.0
,0.0,0.0,0.0,27.0,1694020098.0
,0.0,0.0,0.0,27.0,1694020359.0
,0.0,0.0,0.0,27.0,1694020620.0
,0.0,0.0,0.0,27.0,1694020881.0
,0.0,0.0,0.0,27.0,1694021142.0
,0.0,0.0,0.0,27.0,1694021405.0
,1.0,0.0,1.0,26.0,1694021667.0
,1.0,0.0,1.0,26.0,1694022194.0
,0.0,0.0,0.0,27.0,1694022457.0
,2.0,1.0,1.0,25.0,1694022721.0
,21.0,14.0,7.0,6.0,1694022979.0
,20.0,15.0,5.0,6.0,1694023240.0
,18.0,14.0,4.0,7.0,1694023498.0
,19.0,16.0,3.0,8.0,1694023760.0
,17.0,16.0,1.0,10.0,1694024287.0
,17.0,16.0,1.0,10.0,1694024555.0
,17.0,16.0,1.0,10.0,1694024822.0
,18.0,16.0,2.0,9.0,1694025082.0
,17.0,16.0,1.0,10.0,1694025343.0
,17.0,16.0,1.0,10.0,1694025605.0
,15.0,14.0,1.0,11.0,1694026136.0
,15.0,15.0,0.0,12.0,1694026398.0
,15.0,15.0,0.0,12.0,1694026398.0
,16.0,15.0,1.0,11.0,1694026924.0
,17.0,16.0,1.0,10.0,1694027186.0
,17.0,16.0,1.0,10.0,1694027450.0
,17.0,16.0,1.0,10.0,1694027976.0
,17.0,16.0,1.0,10.0,1694027976.0
,16.0,16.0,0.0,11.0,1694028498.0
,13.0,13.0,0.0,14.0,1694028759.0
,13.0,13.0,0.0,14.0,1694029024.0
,13.0,13.0,0.0,14.0,1694029285.0
,13.0,13.0,0.0,14.0,1694029547.0
,13.0,13.0,0.0,14.0,1694029810.0
,13.0,13.0,0.0,14.0,1694030074.0
,13.0,13.0,0.0,14.0,1694030604.0
,13.0,13.0,0.0,14.0,1694030867.0
,13.0,13.0,0.0,14.0,1694031135.0
,13.0,13.0,0.0,14.0,1694031397.0
,13.0,13.0,0.0,14.0,1694031664.0
,13.0,13.0,0.0,14.0,1694031927.0
,12.0,12.0,0.0,15.0,1694032192.0
,12.0,12.0,0.0,15.0,1694032455.0
,12.0,12.0,0.0,15.0,1694032983.0
,12.0,11.0,1.0,15.0,1694033246.0
,12.0,10.0,2.0,14.0,1694033508.0
,9.0,7.0,2.0,16.0,1694033767.0
,8.0,8.0,0.0,19.0,1694034026.0
,8.0,8.0,0.0,19.0,1694034554.0
,8.0,8.0,0.0,19.0,1694034554.0
,8.0,8.0,0.0,19.0,1694034816.0
,6.0,6.0,0.0,21.0,1694035345.0
,6.0,6.0,0.0,21.0,1694035606.0
,6.0,6.0,0.0,21.0,1694035869.0
,7.0,6.0,1.0,20.0,1694036133.0
,7.0,6.0,1.0,20.0,1694036397.0
,7.0,6.0,1.0,20.0,1694036917.0
,7.0,6.0,1.0,20.0,1694037179.0
,7.0,6.0,1.0,19.0,1694037437.0
,8.0,6.0,2.0,19.0,1694037699.0
,8.0,6.0,2.0,19.0,1694037962.0
,8.0,6.0,2.0,19.0,1694038226.0
,7.0,6.0,1.0,20.0,1694038745.0
,6.0,6.0,0.0,21.0,1694039008.0
,6.0,6.0,0.0,21.0,1694039272.0
,6.0,6.0,0.0,21.0,1694039536.0
,8.0,6.0,2.0,19.0,1694039796.0
,5.0,5.0,0.0,22.0,1694040059.0
,3.0,3.0,0.0,24.0,1694040328.0
,3.0,3.0,0.0,24.0,1694040591.0
,3.0,3.0,0.0,24.0,1694040852.0
,4.0,3.0,1.0,23.0,1694041382.0
,4.0,3.0,1.0,23.0,1694041647.0
,4.0,3.0,1.0,23.0,1694041908.0
,4.0,3.0,1.0,23.0,1694042169.0
,4.0,3.0,1.0,23.0,1694042432.0
,4.0,3.0,1.0,23.0,1694042957.0
,4.0,3.0,1.0,23.0,1694042957.0
,4.0,3.0,1.0,23.0,1694043220.0
,4.0,3.0,1.0,23.0,1694043746.0
,4.0,3.0,1.0,23.0,1694044007.0
,4.0,3.0,1.0,23.0,1694044266.0
,4.0,3.0,1.0,23.0,1694044529.0
,4.0,3.0,1.0,23.0,1694044789.0
