num_bikes_available,num_bikes_available_types.mechanical,num_bikes_available_types.ebike,num_docks_available,last_reported,V1
7.0,5.0,2.0,20.0,1690946742.0,
7.0,5.0,2.0,20.0,1690947007.0,
7.0,5.0,2.0,20.0,1690947268.0,
7.0,5.0,2.0,20.0,1690947800.0,
7.0,5.0,2.0,20.0,1690947800.0,
7.0,5.0,2.0,20.0,1690948331.0,
7.0,5.0,2.0,20.0,1690948597.0,
7.0,5.0,2.0,20.0,1690948861.0,
7.0,5.0,2.0,20.0,1690949124.0,
7.0,5.0,2.0,20.0,1690949391.0,
7.0,5.0,2.0,20.0,1690949923.0,
7.0,5.0,2.0,20.0,1690950185.0,
7.0,5.0,2.0,20.0,1690950452.0,
7.0,5.0,2.0,20.0,1690950720.0,
7.0,5.0,2.0,20.0,1690950981.0,
7.0,5.0,2.0,20.0,1690951246.0,
7.0,5.0,2.0,20.0,1690951776.0,
7.0,5.0,2.0,20.0,1690951776.0,
7.0,5.0,2.0,20.0,1690952038.0,
7.0,5.0,2.0,20.0,1690952563.0,
7.0,5.0,2.0,20.0,1690952821.0,
7.0,5.0,2.0,20.0,1690953082.0,
7.0,5.0,2.0,20.0,1690953340.0,
7.0,5.0,2.0,20.0,1690953602.0,
7.0,5.0,2.0,20.0,1690953866.0,
7.0,5.0,2.0,20.0,1690954389.0,
7.0,5.0,2.0,20.0,1690954654.0,
7.0,5.0,2.0,20.0,1690954913.0,
8.0,5.0,3.0,19.0,1690955180.0,
8.0,5.0,3.0,19.0,1690955439.0,
8.0,5.0,3.0,19.0,1690955703.0,
8.0,5.0,3.0,19.0,1690955961.0,
8.0,5.0,3.0,19.0,1690956485.0,
8.0,5.0,3.0,19.0,1690956748.0,
10.0,5.0,5.0,17.0,1690957013.0,
10.0,5.0,5.0,17.0,1690957278.0,
10.0,5.0,5.0,17.0,1690957537.0,
10.0,5.0,5.0,17.0,1690957802.0,
9.0,5.0,4.0,18.0,1690958320.0,
8.0,5.0,3.0,19.0,1690958578.0,
8.0,5.0,3.0,19.0,1690958841.0,
8.0,5.0,3.0,19.0,1690959104.0,
9.0,6.0,3.0,18.0,1690959363.0,
9.0,6.0,3.0,18.0,1690959625.0,
9.0,6.0,3.0,18.0,1690960153.0,
9.0,6.0,3.0,18.0,1690960416.0,
9.0,6.0,3.0,18.0,1690960678.0,
9.0,6.0,3.0,18.0,1690960938.0,
9.0,6.0,3.0,18.0,1690961204.0,
9.0,6.0,3.0,18.0,1690961467.0,
9.0,6.0,3.0,18.0,1690961729.0,
9.0,6.0,3.0,18.0,1690961992.0,
9.0,6.0,3.0,18.0,1690962255.0,
10.0,6.0,4.0,17.0,1690962770.0,
10.0,6.0,4.0,17.0,1690963034.0,
10.0,6.0,4.0,17.0,1690963294.0,
10.0,6.0,4.0,17.0,1690963556.0,
10.0,6.0,4.0,17.0,1690963819.0,
10.0,6.0,4.0,17.0,1690964347.0,
10.0,6.0,4.0,17.0,1690964610.0,
10.0,6.0,4.0,17.0,1690964869.0,
9.0,6.0,3.0,18.0,1690965133.0,
8.0,6.0,2.0,19.0,1690965396.0,
8.0,6.0,2.0,19.0,1690965658.0,
8.0,6.0,2.0,19.0,1690965923.0,
10.0,6.0,4.0,17.0,1690966186.0,
10.0,6.0,4.0,17.0,1690966450.0,
10.0,6.0,4.0,17.0,1690966976.0,
10.0,6.0,4.0,17.0,1690967239.0,
10.0,6.0,4.0,17.0,1690967499.0,
10.0,6.0,4.0,17.0,1690967764.0,
10.0,6.0,4.0,17.0,1690968025.0,
10.0,6.0,4.0,17.0,1690968290.0,
9.0,6.0,3.0,18.0,1690968814.0,
9.0,6.0,3.0,18.0,1690968814.0,
9.0,6.0,3.0,18.0,1690969343.0,
9.0,6.0,3.0,18.0,1690969608.0,
8.0,5.0,3.0,18.0,1690969871.0,
7.0,5.0,2.0,19.0,1690970131.0,
8.0,6.0,2.0,19.0,1690970396.0,
8.0,6.0,2.0,19.0,1690970921.0,
8.0,6.0,2.0,19.0,1690971186.0,
8.0,6.0,2.0,19.0,1690971450.0,
8.0,6.0,2.0,19.0,1690971710.0,
8.0,6.0,2.0,19.0,1690971972.0,
8.0,6.0,2.0,19.0,1690972231.0,
8.0,6.0,2.0,19.0,1690972758.0,
8.0,6.0,2.0,19.0,1690972758.0,
8.0,6.0,2.0,19.0,1690973287.0,
8.0,6.0,2.0,19.0,1690973550.0,
8.0,6.0,2.0,19.0,1690973814.0,
7.0,6.0,1.0,20.0,1690974079.0,
7.0,6.0,1.0,20.0,1690974341.0,
7.0,6.0,1.0,20.0,1690974604.0,
7.0,6.0,1.0,20.0,1690974870.0,
7.0,6.0,1.0,20.0,1690975394.0,
6.0,6.0,0.0,21.0,1690975657.0,
6.0,6.0,0.0,21.0,1690975921.0,
6.0,6.0,0.0,21.0,1690976181.0,
6.0,6.0,0.0,21.0,1690976442.0,
6.0,6.0,0.0,21.0,1690976701.0,
6.0,6.0,0.0,21.0,1690976963.0,
6.0,6.0,0.0,21.0,1690977489.0,
6.0,6.0,0.0,21.0,1690977751.0,
6.0,6.0,0.0,21.0,1690978014.0,
6.0,6.0,0.0,21.0,1690978281.0,
5.0,5.0,0.0,22.0,1690978546.0,
5.0,5.0,0.0,22.0,1690978809.0,
4.0,4.0,0.0,23.0,1690979333.0,
4.0,4.0,0.0,23.0,1690979592.0,
4.0,4.0,0.0,23.0,1690979859.0,
5.0,4.0,1.0,22.0,1690980122.0,
5.0,4.0,1.0,22.0,1690980382.0,
5.0,4.0,1.0,22.0,1690980641.0,
5.0,4.0,1.0,22.0,1690980906.0,
5.0,4.0,1.0,22.0,1690981167.0,
5.0,4.0,1.0,22.0,1690981428.0,
5.0,4.0,1.0,22.0,1690981950.0,
5.0,4.0,1.0,22.0,1690982213.0,
5.0,4.0,1.0,22.0,1690982477.0,
5.0,4.0,1.0,22.0,1690982741.0,
5.0,4.0,1.0,22.0,1690983004.0,
4.0,4.0,0.0,23.0,1690983264.0,
3.0,3.0,0.0,24.0,1690983790.0,
3.0,3.0,0.0,24.0,1690984050.0,
3.0,3.0,0.0,24.0,1690984311.0,
3.0,3.0,0.0,24.0,1690984573.0,
2.0,2.0,0.0,25.0,1690984838.0,
2.0,2.0,0.0,25.0,1690985099.0,
2.0,2.0,0.0,25.0,1690985622.0,
2.0,2.0,0.0,25.0,1690985622.0,
2.0,2.0,0.0,25.0,1690986148.0,
2.0,2.0,0.0,25.0,1690986406.0,
2.0,2.0,0.0,25.0,1690986670.0,
2.0,2.0,0.0,25.0,1690986932.0,
2.0,2.0,0.0,25.0,1690987199.0,
2.0,2.0,0.0,25.0,1690987723.0,
2.0,2.0,0.0,25.0,1690987985.0,
2.0,2.0,0.0,25.0,1690988246.0,
2.0,2.0,0.0,25.0,1690988506.0,
2.0,2.0,0.0,25.0,1690988768.0,
2.0,2.0,0.0,25.0,1690989027.0,
2.0,2.0,0.0,25.0,1690989289.0,
2.0,2.0,0.0,25.0,1690989814.0,
2.0,2.0,0.0,25.0,1690990076.0,
1.0,1.0,0.0,26.0,1690990338.0,
1.0,1.0,0.0,26.0,1690990600.0,
2.0,1.0,1.0,25.0,1690990860.0,
1.0,1.0,0.0,25.0,1690991385.0,
1.0,1.0,0.0,25.0,1690991385.0,
1.0,1.0,0.0,25.0,1690991650.0,
1.0,1.0,0.0,25.0,1690992173.0,
1.0,1.0,0.0,25.0,1690992442.0,
1.0,1.0,0.0,25.0,1690992704.0,
0.0,0.0,0.0,26.0,1690992970.0,
0.0,0.0,0.0,26.0,1690993230.0,
0.0,0.0,0.0,26.0,1690993758.0,
1.0,0.0,1.0,25.0,1690993758.0,
1.0,0.0,1.0,25.0,1690994022.0,
1.0,0.0,1.0,25.0,1690994550.0,
2.0,0.0,2.0,23.0,1690994812.0,
2.0,0.0,2.0,23.0,1690995074.0,
2.0,0.0,2.0,23.0,1690995333.0,
2.0,0.0,2.0,23.0,1690995599.0,
3.0,0.0,3.0,22.0,1690995865.0,
2.0,0.0,2.0,22.0,1690996395.0,
2.0,0.0,2.0,22.0,1690996660.0,
1.0,0.0,1.0,23.0,1690996924.0,
1.0,0.0,1.0,23.0,1690997191.0,
0.0,0.0,0.0,24.0,1690997454.0,
0.0,0.0,0.0,24.0,1690997719.0,
0.0,0.0,0.0,24.0,1690997983.0,
0.0,0.0,0.0,24.0,1690998250.0,
0.0,0.0,0.0,24.0,1690998784.0,
0.0,0.0,0.0,24.0,1690999043.0,
1.0,0.0,1.0,24.0,1690999309.0,
1.0,0.0,1.0,24.0,1690999574.0,
2.0,0.0,2.0,24.0,1690999837.0,
2.0,0.0,2.0,24.0,1691000362.0,
3.0,0.0,3.0,24.0,1691000362.0,
3.0,0.0,3.0,24.0,1691000894.0,
2.0,0.0,2.0,25.0,1691001156.0,
2.0,0.0,2.0,25.0,1691001424.0,
2.0,0.0,2.0,24.0,1691001691.0,
2.0,0.0,2.0,24.0,1691001952.0,
2.0,0.0,2.0,24.0,1691002215.0,
2.0,0.0,2.0,24.0,1691002746.0,
2.0,0.0,2.0,24.0,1691003008.0,
2.0,0.0,2.0,24.0,1691003008.0,
1.0,0.0,1.0,25.0,1691003541.0,
1.0,0.0,1.0,25.0,1691003802.0,
1.0,0.0,1.0,25.0,1691004067.0,
0.0,0.0,0.0,26.0,1691004333.0,
0.0,0.0,0.0,26.0,1691004595.0,
0.0,0.0,0.0,26.0,1691004863.0,
1.0,0.0,1.0,26.0,1691005391.0,
1.0,0.0,1.0,26.0,1691005658.0,
1.0,0.0,1.0,26.0,1691005923.0,
1.0,0.0,1.0,26.0,1691006187.0,
1.0,0.0,1.0,26.0,1691006451.0,
1.0,0.0,1.0,26.0,1691006717.0,
1.0,0.0,1.0,26.0,1691006984.0,
1.0,0.0,1.0,26.0,1691007517.0,
1.0,0.0,1.0,26.0,1691007782.0,
1.0,0.0,1.0,26.0,1691008046.0,
1.0,0.0,1.0,26.0,1691008312.0,
1.0,0.0,1.0,26.0,1691008571.0,
1.0,0.0,1.0,26.0,1691008836.0,
1.0,0.0,1.0,26.0,1691009102.0,
1.0,0.0,1.0,26.0,1691009371.0,
1.0,0.0,1.0,26.0,1691009638.0,
1.0,0.0,1.0,26.0,1691010168.0,
1.0,0.0,1.0,26.0,1691010433.0,
1.0,0.0,1.0,26.0,1691010700.0,
1.0,0.0,1.0,26.0,1691010966.0,
0.0,0.0,0.0,27.0,1691011230.0,
0.0,0.0,0.0,27.0,1691011498.0,
0.0,0.0,0.0,27.0,1691012027.0,
0.0,0.0,0.0,27.0,1691012291.0,
0.0,0.0,0.0,27.0,1691012556.0,
